NAME,Population,Median_Income
"Miami County, Kansas",33417,36073
"Woodson County, Kansas",3157,22845
"Ness County, Kansas",2876,30362
"Bourbon County, Kansas",14608,23767
"Kiowa County, Kansas",2505,27866
"Shawnee County, Kansas",177852,31826
"Chautauqua County, Kansas",3323,22456
"Reno County, Kansas",62765,26565
"Doniphan County, Kansas",7684,25274
"Haskell County, Kansas",4018,28841
"Scott County, Kansas",4917,30737
"Brown County, Kansas",9626,26031
"Phillips County, Kansas",5340,26056
"Decatur County, Kansas",2860,28254
"Garrard County, Kentucky",17445,25436
"Campbell County, Kentucky",92861,32375
"Elliott County, Kentucky",7510,16880
"Larue County, Kentucky",14204,23997
"Mercer County, Kentucky",21592,27340
"Russell County, Kentucky",17778,21066
"Washington County, Kentucky",12023,26102
"Barren County, Kentucky",43884,22266
"Hancock County, Kentucky",8720,29008
"Hardin County, Kentucky",108527,30512
"McLean County, Kentucky",9283,29536
"Powell County, Kentucky",12304,21237
"Caldwell County, Kentucky",12702,26292
"Boyd County, Kentucky",47682,25178
"Fayette County, Kentucky",320601,30181
"Johnson County, Kentucky",22634,20254
"Morgan County, Kentucky",13288,20952
"Pulaski County, Kentucky",64350,21765
"Adair County, Kentucky",19222,19277
"Breathitt County, Kentucky",12977,15934
"Hart County, Kentucky",18729,21428
"Trimble County, Kentucky",8558,27088
"Hickman County, Kentucky",4510,23460
"Lyon County, Kentucky",8271,23580
"Lewis County, Kentucky",13417,20316
"Woodford County, Kentucky",26318,31738
"Leslie County, Kentucky",10283,17902
"Lawrence County, Kentucky",15671,19610
"McCracken County, Kentucky",65268,26221
"Brule County, South Dakota",5258,28873
"Gregory County, South Dakota",4186,25806
"Minnehaha County, South Dakota",188674,33737
"Clark County, South Dakota",3685,24856
"Kingsbury County, South Dakota",4944,33683
"Clay County, South Dakota",13957,20563
"Dewey County, South Dakota",5833,25887
"Hughes County, South Dakota",17608,37626
"Sanborn County, South Dakota",2379,30921
"Hand County, South Dakota",3256,31679
"Yankton County, South Dakota",22717,30126
"Beadle County, South Dakota",18346,29818
"Davison County, South Dakota",19871,30801
"Jerauld County, South Dakota",2018,28438
"Stanley County, South Dakota",3017,36029
"Potter County, South Dakota",2315,28774
"Charles Mix County, South Dakota",9349,25353
